OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	       1	1459721183 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1443548309 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1441346718 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1472261136 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1416323723 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1436676560 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1458968237 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1480890459 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1454709716 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1452819383 ns/op	       0 B/op	       0 allocs/op
BenchmarkDelete-8   	       1	1478973042 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     764	   1585597 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     789	   1519368 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     775	   1848807 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     775	   1518401 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     787	   1517115 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     778	   1877995 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     739	   1524421 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     649	   1622993 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     734	   1616180 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     781	   1885769 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     781	   1524621 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	     646	   1596862 ns/op	       0 B/op	       0 allocs/op
