OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	      12	  98949965 ns/op	21357273 B/op	  266965 allocs/op
BenchmarkDelete-8   	      10	 101794765 ns/op	21356208 B/op	  266952 allocs/op
BenchmarkDelete-8   	      10	 100200929 ns/op	21351624 B/op	  266895 allocs/op
BenchmarkDelete-8   	      12	  99763268 ns/op	21364580 B/op	  267057 allocs/op
BenchmarkDelete-8   	      10	 100632890 ns/op	21349576 B/op	  266869 allocs/op
BenchmarkDelete-8   	      12	  99920345 ns/op	21352640 B/op	  266908 allocs/op
BenchmarkDelete-8   	      10	 100181330 ns/op	21353096 B/op	  266913 allocs/op
BenchmarkDelete-8   	      10	 100486240 ns/op	21357848 B/op	  266973 allocs/op
BenchmarkDelete-8   	      12	  99566258 ns/op	21359106 B/op	  266988 allocs/op
BenchmarkDelete-8   	      12	  98544779 ns/op	21345820 B/op	  266822 allocs/op
BenchmarkDelete-8   	      10	 101302706 ns/op	21356616 B/op	  266957 allocs/op
BenchmarkDelete-8   	      12	  99349883 ns/op	21348553 B/op	  266856 allocs/op
BenchmarkDelete-8   	      12	  98853160 ns/op	21352113 B/op	  266901 allocs/op
BenchmarkGet-8      	      88	  13353882 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13483347 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      82	  13394821 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13441707 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13304508 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13356116 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13420370 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13393275 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      79	  13415897 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      82	  13405306 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13455107 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13363091 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13350433 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13353060 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      82	  13388224 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      82	  13439901 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      78	  13348485 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      86	  13372064 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13331257 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13358425 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	159.155s
