OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	       9	 117140129 ns/op	39152008 B/op	  833789 allocs/op
BenchmarkDelete-8   	       9	 117657384 ns/op	39148570 B/op	  833703 allocs/op
BenchmarkDelete-8   	       9	 116817984 ns/op	39148615 B/op	  833649 allocs/op
BenchmarkDelete-8   	       9	 119200773 ns/op	39150615 B/op	  833747 allocs/op
BenchmarkDelete-8   	       9	 123484907 ns/op	39154396 B/op	  833879 allocs/op
BenchmarkDelete-8   	       9	 120289438 ns/op	39155688 B/op	  833896 allocs/op
BenchmarkDelete-8   	       9	 120510974 ns/op	39151800 B/op	  833807 allocs/op
BenchmarkDelete-8   	       9	 120722343 ns/op	39154295 B/op	  833805 allocs/op
BenchmarkDelete-8   	       9	 121820322 ns/op	39147139 B/op	  833659 allocs/op
BenchmarkDelete-8   	       9	 117402250 ns/op	39143457 B/op	  833643 allocs/op
BenchmarkDelete-8   	       9	 122356739 ns/op	39154062 B/op	  833817 allocs/op
BenchmarkDelete-8   	       8	 125458574 ns/op	39149190 B/op	  833724 allocs/op
BenchmarkDelete-8   	       9	 120025691 ns/op	39149198 B/op	  833702 allocs/op
BenchmarkGet-8      	      86	  13443132 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      82	  13321776 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13315143 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13440097 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13307613 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      79	  13532542 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13664548 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13776363 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13745563 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13832099 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13817062 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      78	  13304689 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      81	  13446526 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13404825 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      75	  13358765 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13270773 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13359591 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13386315 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      79	  13326767 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      84	  13360232 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	147.284s
