goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	      74	  16229694 ns/op	11197304 B/op	  279932 allocs/op
BenchmarkDelete-8   	      64	  16286650 ns/op	11197304 B/op	  279932 allocs/op
BenchmarkDelete-8   	      72	  16702090 ns/op	11197302 B/op	  279932 allocs/op
BenchmarkDelete-8   	      60	  17079497 ns/op	11197310 B/op	  279932 allocs/op
BenchmarkDelete-8   	      63	  17908562 ns/op	11197304 B/op	  279932 allocs/op
BenchmarkDelete-8   	      72	  17721194 ns/op	11197308 B/op	  279932 allocs/op
BenchmarkDelete-8   	      70	  16357697 ns/op	11197321 B/op	  279932 allocs/op
BenchmarkDelete-8   	      68	  17576537 ns/op	11197311 B/op	  279932 allocs/op
BenchmarkDelete-8   	      74	  17335981 ns/op	11197312 B/op	  279932 allocs/op
BenchmarkGet-8      	    5932	    179677 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6634	    179455 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6640	    174485 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6732	    172153 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6766	    172037 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6931	    177577 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6738	    180019 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6926	    171821 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6620	    177109 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6841	    178550 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6736	    179616 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6795	    171662 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6806	    172002 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6823	    170885 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6759	    171725 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6610	    171862 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6838	    171899 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6890	    171741 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6723	    171714 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	    6763	    175656 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	131.291s
