OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	       8	 139588400 ns/op	39155184 B/op	  833888 allocs/op
BenchmarkDelete-8   	       8	 139162218 ns/op	39146936 B/op	  833625 allocs/op
BenchmarkDelete-8   	       8	 140822238 ns/op	39153164 B/op	  833841 allocs/op
BenchmarkDelete-8   	       8	 140260188 ns/op	39156944 B/op	  833912 allocs/op
BenchmarkDelete-8   	       8	 139132182 ns/op	39150992 B/op	  833740 allocs/op
BenchmarkDelete-8   	       8	 140136737 ns/op	39155332 B/op	  833946 allocs/op
BenchmarkDelete-8   	       8	 142947765 ns/op	39146122 B/op	  833553 allocs/op
BenchmarkDelete-8   	       8	 143522077 ns/op	39150764 B/op	  833812 allocs/op
BenchmarkDelete-8   	       7	 144427272 ns/op	39154651 B/op	  833879 allocs/op
BenchmarkDelete-8   	       8	 141464887 ns/op	39152054 B/op	  833807 allocs/op
BenchmarkDelete-8   	       8	 139545034 ns/op	39154686 B/op	  833837 allocs/op
BenchmarkDelete-8   	       8	 141389856 ns/op	39160320 B/op	  834011 allocs/op
BenchmarkDelete-8   	       8	 143858495 ns/op	39155148 B/op	  833895 allocs/op
BenchmarkGet-8      	      85	  14184936 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      87	  14079158 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  14028020 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13431935 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13398846 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13411917 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13785682 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13522840 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      87	  14119035 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13314867 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      90	  13339487 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      87	  13384512 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13404777 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      87	  13550589 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13373043 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13774144 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      88	  13978561 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      87	  14108653 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13983376 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      85	  13379028 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	195.823s
