OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
OK: 52 passed
goos: linux
goarch: amd64
pkg: github.com/stewkk/iu9-networks/lab1/internal/polygon
cpu: 11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz
BenchmarkDelete-8   	       8	 143458269 ns/op	38936438 B/op	  833508 allocs/op
BenchmarkDelete-8   	       8	 142611215 ns/op	38932544 B/op	  833312 allocs/op
BenchmarkDelete-8   	       8	 145085022 ns/op	38931690 B/op	  833360 allocs/op
BenchmarkDelete-8   	       8	 141473239 ns/op	38929554 B/op	  833258 allocs/op
BenchmarkDelete-8   	       7	 144277740 ns/op	38928048 B/op	  833276 allocs/op
BenchmarkDelete-8   	       8	 142996253 ns/op	38935752 B/op	  833484 allocs/op
BenchmarkDelete-8   	       8	 145094444 ns/op	38930666 B/op	  833367 allocs/op
BenchmarkDelete-8   	       7	 146637639 ns/op	38937860 B/op	  833488 allocs/op
BenchmarkDelete-8   	       8	 140995330 ns/op	38928494 B/op	  833291 allocs/op
BenchmarkDelete-8   	       7	 144340175 ns/op	38932425 B/op	  833383 allocs/op
BenchmarkDelete-8   	       8	 141035542 ns/op	38931662 B/op	  833349 allocs/op
BenchmarkDelete-8   	       7	 145042061 ns/op	38940779 B/op	  833596 allocs/op
BenchmarkDelete-8   	       8	 142977938 ns/op	38928756 B/op	  833235 allocs/op
BenchmarkGet-8      	      55	  20349689 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      54	  20226968 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      50	  20887924 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      60	  19830966 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      51	  21073125 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      60	  21107132 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      54	  21127045 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      56	  20218967 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      55	  20425575 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      52	  19969827 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      55	  19834857 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      60	  20151335 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      58	  19951041 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      57	  20755025 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      54	  20424799 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      56	  20744350 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      57	  20665612 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      54	  21102691 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      51	  20059162 ns/op	       0 B/op	       0 allocs/op
BenchmarkGet-8      	      57	  19902412 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/stewkk/iu9-networks/lab1/internal/polygon	192.242s
